data,ano,mes,mes_nome,trimestre,canal,tipo_problema,prioridade,quantidade_tickets,tempo_medio_resolucao_horas,satisfacao_media,taxa_resolucao_primeiro_contato,tickets_reabertos,custo_medio_por_ticket,eficiencia_canal
2023-01-01,2023,1,January,Q1,Telefone,Técnico,Baixa,50,4.83,3.73,0.73,4,120.81,54.46
2023-01-01,2023,1,January,Q1,Telefone,Técnico,Média,46,1.79,4.2,0.66,4,44.67,55.44
2023-01-01,2023,1,January,Q1,Telefone,Técnico,Alta,20,1.85,3.89,0.74,1,46.23,57.57
2023-01-01,2023,1,January,Q1,Telefone,Técnico,Crítica,5,1.46,3.59,0.69,0,36.61,49.54
2023-01-01,2023,1,January,Q1,Telefone,Financeiro,Baixa,23,3.25,3.83,0.67,2,81.21,51.32
2023-01-01,2023,1,January,Q1,Telefone,Financeiro,Média,22,2.21,3.71,0.64,2,55.22,47.49
2023-01-01,2023,1,January,Q1,Telefone,Financeiro,Alta,14,2.63,2.73,0.6,1,65.78,32.76
2023-01-01,2023,1,January,Q1,Telefone,Financeiro,Crítica,2,1.74,3.73,0.78,0,43.54,58.19
2023-01-01,2023,1,January,Q1,Telefone,Informações,Baixa,27,4.72,3.82,0.68,2,117.93,51.95
2023-01-01,2023,1,January,Q1,Telefone,Informações,Média,32,1.68,4.53,0.79,2,41.9,71.57
2023-01-01,2023,1,January,Q1,Telefone,Informações,Alta,14,2.4,3.49,0.75,1,59.96,52.35
2023-01-01,2023,1,January,Q1,Telefone,Informações,Crítica,4,1.47,3.62,0.75,0,36.83,54.3
2023-01-01,2023,1,January,Q1,Telefone,Reclamação,Baixa,16,2.06,3.87,0.66,1,51.56,51.08
2023-01-01,2023,1,January,Q1,Telefone,Reclamação,Média,20,3.51,4.07,0.8,1,87.83,65.12
2023-01-01,2023,1,January,Q1,Telefone,Reclamação,Alta,9,1.6,4.21,0.77,0,39.89,64.83
2023-01-01,2023,1,January,Q1,Telefone,Reclamação,Crítica,2,1.68,3.57,0.68,0,41.99,48.55
2023-01-01,2023,1,January,Q1,Telefone,Sugestão,Baixa,6,5.58,3.69,0.65,0,139.58,47.97
2023-01-01,2023,1,January,Q1,Telefone,Sugestão,Média,4,2.32,3.23,0.63,0,57.95,40.7
2023-01-01,2023,1,January,Q1,Telefone,Sugestão,Alta,3,1.43,3.76,0.72,0,35.77,54.14
2023-01-01,2023,1,January,Q1,Telefone,Sugestão,Crítica,1,1.37,3.47,0.73,0,34.13,50.66
2023-01-01,2023,1,January,Q1,E-mail,Técnico,Baixa,57,37.47,2.71,0.3,11,936.76,16.26
2023-01-01,2023,1,January,Q1,E-mail,Técnico,Média,50,21.97,3.53,0.37,9,549.28,26.12
2023-01-01,2023,1,January,Q1,E-mail,Técnico,Alta,31,17.14,2.69,0.48,4,428.39,25.82
2023-01-01,2023,1,January,Q1,E-mail,Técnico,Crítica,7,16.82,3.61,0.47,1,420.42,33.93
2023-01-01,2023,1,January,Q1,E-mail,Financeiro,Baixa,29,10.54,3.65,0.49,4,263.52,35.77
2023-01-01,2023,1,January,Q1,E-mail,Financeiro,Média,28,18.49,3.79,0.41,4,462.15,31.08
