data,ano,trimestre,servico,faixa_etaria,regiao,classe_social,tamanho_amostra,usuarios_ativos,penetracao_percentual,frequencia_uso_semanal,satisfacao_media,intencao_continuar_pct,nao_usuarios,potencial_crescimento_pct,nps_estimado
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Sul,A,1151,1151,100.0,6.63,8.65,95.64,0,0.0,73.0
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Sul,B,1017,1006,99.0,3.83,6.34,100.0,11,1.0,13.4
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Sul,C,1076,798,74.25,3.1,5.93,77.37,278,25.75,9.3
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Sul,D/E,1038,428,41.25,3.43,4.85,63.17,610,58.75,-0.8
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Sudeste,A,816,816,100.0,6.32,6.77,98.93,0,0.0,17.7
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Sudeste,B,869,860,99.0,6.15,7.52,100.0,9,1.0,50.4
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Sudeste,C,916,680,74.25,4.55,6.6,85.85,236,25.75,16.0
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Sudeste,D/E,842,347,41.25,3.56,7.29,44.03,495,58.75,45.8
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Centro-Oeste,A,800,800,100.0,5.76,6.2,100.0,0,0.0,12.0
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Centro-Oeste,B,1190,1071,90.0,5.51,6.12,86.4,119,10.0,11.2
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Centro-Oeste,C,915,617,67.5,3.45,7.48,56.65,298,32.5,49.6
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Centro-Oeste,D/E,1140,427,37.5,3.27,4.61,40.33,713,62.5,-1.9
2023-01-01,2023,Q1,Internet Banda Larga,18-24,Nordeste,A,1034,922,89.25,2.93,5.87,80.3,112,10.75,8.7
